,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
0,1,11/08/2018 00:45,Old Trafford,Man Utd,Leicester,2 - 1,H,35.063255796358355,18.677346365592992,46.25939783804865
1,1,11/08/2018 17:15,St. James' Park,Newcastle,Spurs,1 - 2,A,40.22786542413347,26.200939993608635,33.5711945822579
2,1,11/08/2018 19:45,Vitality Stadium,Bournemouth,Cardiff,2 - 0,H,36.74838711488195,23.54186033544008,39.70975254967797
3,1,11/08/2018 19:45,Craven Cottage,Fulham,Crystal Palace,0 - 2,A,39.90044618285395,20.915202775560413,39.18435104158564
4,1,11/08/2018 19:45,John Smith's Stadium,Huddersfield,Chelsea,0 - 3,A,37.86288445194689,27.716626383073756,34.42048916497935
5,1,11/08/2018 19:45,Vicarage Road,Watford,Brighton,2 - 0,H,32.245564553811775,33.60264326000851,34.151792186179705
6,1,11/08/2018 22:15,Molineux Stadium,Wolves,Everton,2 - 2,D,27.56782863302481,41.330056090071466,31.102115276903724
7,1,12/08/2018 18:15,Anfield,Liverpool,West Ham,4 - 0,D,27.278433136187363,40.440546989938085,32.28101987387454
8,1,12/08/2018 18:15,St. Mary's Stadium,Southampton,Burnley,0 - 0,D,30.02215754481782,38.286037569054024,31.69180488612816
9,1,12/08/2018 20:45,Emirates Stadium,Arsenal,Man City,0 - 2,H,31.455166231403357,30.739590355833847,37.805243412762806
10,2,18/08/2018 17:15,Cardiff City Stadium,Cardiff,Newcastle,0 - 0,A,43.88469440286635,15.31879611093318,40.79650948620048
11,2,18/08/2018 19:45,Goodison Park,Everton,Southampton,2 - 1,H,24.871812815409125,36.96239714788865,38.165790036702205
12,2,18/08/2018 19:45,King Power Stadium,Leicester,Wolves,2 - 0,D,33.979931361379045,35.563921017299926,30.456147621321033
13,2,18/08/2018 19:45,Wembley Stadium,Spurs,Fulham,3 - 1,H,29.828718919892573,32.23021077785824,37.94107030224919
14,2,18/08/2018 19:45,London Stadium,West Ham,Bournemouth,1 - 2,A,35.316430064672666,31.684821458854163,32.998748476473175
15,2,18/08/2018 22:15,Stamford Bridge,Chelsea,Arsenal,3 - 2,D,30.862831889558045,38.93050714972246,30.206660960719482
16,2,19/08/2018 18:15,Turf Moor,Burnley,Watford,1 - 3,H,36.57472299720943,15.87791241038915,47.547364592401436
17,2,19/08/2018 18:15,Etihad Stadium,Man City,Huddersfield,6 - 1,D,30.158887964530383,34.982267568705744,34.85884446676387
18,2,19/08/2018 20:45,Amex Stadium,Brighton,Man Utd,3 - 2,D,27.95484776610415,44.511414288271425,27.53373794562442
19,2,21/08/2018 00:45,Selhurst Park,Crystal Palace,Liverpool,0 - 2,A,42.574094481115985,23.352799402832424,34.0731061160516
20,3,25/08/2018 17:15,Molineux Stadium,Wolves,Man City,1 - 1,H,36.141892674010464,27.121359576002043,36.7367477499875
21,3,25/08/2018 19:45,Emirates Stadium,Arsenal,West Ham,3 - 1,H,27.50056150466529,33.42138439384978,39.07805410148493
22,3,25/08/2018 19:45,Vitality Stadium,Bournemouth,Everton,2 - 2,D,23.341280064429213,49.55025282836797,27.108467107202816
23,3,25/08/2018 19:45,John Smith's Stadium,Huddersfield,Cardiff,0 - 0,H,41.790759759656396,15.972420096820533,42.236820143523076
24,3,25/08/2018 19:45,St. Mary's Stadium,Southampton,Leicester,1 - 2,A,35.45234076565421,31.9816853973102,32.565973837035585
25,3,25/08/2018 22:15,Anfield,Liverpool,Brighton,1 - 0,D,28.371904788275998,39.95054889535531,31.677546316368694
26,3,26/08/2018 18:15,Vicarage Road,Watford,Crystal Palace,2 - 1,A,39.23736985068904,22.51297189513374,38.24965825417721
27,3,26/08/2018 20:45,Craven Cottage,Fulham,Burnley,4 - 2,H,31.817095050741763,30.877905863467497,37.30499908579073
28,3,26/08/2018 20:45,St. James' Park,Newcastle,Chelsea,1 - 2,A,39.50524216145273,26.978747596267883,33.5160102422794
29,3,28/08/2018 00:45,Old Trafford,Man Utd,Spurs,0 - 3,H,36.0209154654887,22.85504081536113,41.124043719150166
30,4,01/09/2018 17:15,King Power Stadium,Leicester,Liverpool,1 - 2,D,29.755108785518864,39.68213173212381,30.562759482357325
31,4,01/09/2018 19:45,Amex Stadium,Brighton,Fulham,2 - 2,D,18.72879907803867,51.88076325341885,29.39043766854248
32,4,01/09/2018 19:45,Stamford Bridge,Chelsea,Bournemouth,2 - 0,D,28.019154587586186,40.200042136991364,31.780803275422443
33,4,01/09/2018 19:45,Selhurst Park,Crystal Palace,Southampton,0 - 2,A,39.42587164595688,23.59224000383741,36.9818883502057
34,4,01/09/2018 19:45,Goodison Park,Everton,Huddersfield,1 - 1,D,23.65468973733453,43.98690542848378,32.358404834181705
35,4,01/09/2018 19:45,London Stadium,West Ham,Wolves,0 - 1,A,41.540275493320785,26.87256729649461,31.587157210184607
36,4,01/09/2018 22:15,Etihad Stadium,Man City,Newcastle,2 - 1,H,38.52158587968186,17.807353205617797,43.67106091470034
37,4,02/09/2018 18:15,Cardiff City Stadium,Cardiff,Arsenal,2 - 3,A,41.259450428571895,24.40380033569321,34.33674923573489
38,4,02/09/2018 20:45,Turf Moor,Burnley,Man Utd,0 - 2,A,41.77789161138385,23.994449687080714,34.22765870153544
39,4,02/09/2018 20:45,Vicarage Road,Watford,Spurs,2 - 1,A,36.53315247208824,31.73874043338918,31.728107094522567
40,5,15/09/2018 17:15,Wembley Stadium,Spurs,Liverpool,1 - 2,H,36.16547767435225,27.314617467359998,36.51990485828775
41,5,15/09/2018 19:45,Vitality Stadium,Bournemouth,Leicester,4 - 2,H,32.55000595057391,30.99236611509334,36.457627934332734
