HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Man Utd,Leicester,H,35.063255796358355,18.677346365592992,46.25939783804865
Newcastle,Spurs,A,40.22786542413347,26.200939993608635,33.5711945822579
Bournemouth,Cardiff,H,36.74838711488195,23.54186033544008,39.70975254967797
Fulham,Crystal Palace,A,39.90044618285395,20.915202775560413,39.18435104158564
Huddersfield,Chelsea,A,37.86288445194689,27.716626383073756,34.42048916497935
Watford,Brighton,H,32.245564553811775,33.60264326000851,34.151792186179705
Wolves,Everton,D,27.56782863302481,41.330056090071466,31.102115276903724
Liverpool,West Ham,D,27.278433136187363,40.440546989938085,32.28101987387454
Southampton,Burnley,D,30.02215754481782,38.286037569054024,31.69180488612816
Arsenal,Man City,H,31.455166231403357,30.739590355833847,37.805243412762806
Cardiff,Newcastle,A,43.88469440286635,15.31879611093318,40.79650948620048
Everton,Southampton,H,24.871812815409125,36.96239714788865,38.165790036702205
Leicester,Wolves,D,33.979931361379045,35.563921017299926,30.456147621321033
Spurs,Fulham,H,29.828718919892573,32.23021077785824,37.94107030224919
West Ham,Bournemouth,A,35.316430064672666,31.684821458854163,32.998748476473175
Chelsea,Arsenal,D,30.862831889558045,38.93050714972246,30.206660960719482
Burnley,Watford,H,36.57472299720943,15.87791241038915,47.547364592401436
Man City,Huddersfield,D,30.158887964530383,34.982267568705744,34.85884446676387
Brighton,Man Utd,D,27.95484776610415,44.511414288271425,27.53373794562442
Crystal Palace,Liverpool,A,42.574094481115985,23.352799402832424,34.0731061160516
Wolves,Man City,H,36.141892674010464,27.121359576002043,36.7367477499875
Arsenal,West Ham,H,27.50056150466529,33.42138439384978,39.07805410148493
Bournemouth,Everton,D,23.341280064429213,49.55025282836797,27.108467107202816
Huddersfield,Cardiff,H,41.790759759656396,15.972420096820533,42.236820143523076
Southampton,Leicester,A,35.45234076565421,31.9816853973102,32.565973837035585
Liverpool,Brighton,D,28.371904788275998,39.95054889535531,31.677546316368694
Watford,Crystal Palace,A,39.23736985068904,22.51297189513374,38.24965825417721
Fulham,Burnley,H,31.817095050741763,30.877905863467497,37.30499908579073
Newcastle,Chelsea,A,39.50524216145273,26.978747596267883,33.5160102422794
Man Utd,Spurs,H,36.0209154654887,22.85504081536113,41.124043719150166
Leicester,Liverpool,D,29.755108785518864,39.68213173212381,30.562759482357325
Brighton,Fulham,D,18.72879907803867,51.88076325341885,29.39043766854248
Chelsea,Bournemouth,D,28.019154587586186,40.200042136991364,31.780803275422443
Crystal Palace,Southampton,A,39.42587164595688,23.59224000383741,36.9818883502057
Everton,Huddersfield,D,23.65468973733453,43.98690542848378,32.358404834181705
West Ham,Wolves,A,41.540275493320785,26.87256729649461,31.587157210184607
Man City,Newcastle,H,38.52158587968186,17.807353205617797,43.67106091470034
Cardiff,Arsenal,A,41.259450428571895,24.40380033569321,34.33674923573489
Burnley,Man Utd,A,41.77789161138385,23.994449687080714,34.22765870153544
Watford,Spurs,A,36.53315247208824,31.73874043338918,31.728107094522567
Spurs,Liverpool,H,36.16547767435225,27.314617467359998,36.51990485828775
Bournemouth,Leicester,H,32.55000595057391,30.99236611509334,36.457627934332734
Chelsea,Cardiff,H,37.510177196666476,22.199826164185936,40.289996639147596
Huddersfield,Crystal Palace,H,40.820216931298084,18.330226573958498,40.84955649474342
Man City,Fulham,H,27.865537496144682,33.15000695120153,38.984455552653785
Newcastle,Arsenal,A,37.65101620856383,30.063783403440997,32.285200387995175
Watford,Man Utd,A,37.389732176185404,33.26516880663789,29.345099017176707
Wolves,Burnley,H,31.696317164783018,28.63970980570058,39.663973029516406
Everton,West Ham,H,26.11010998480605,34.460322048735456,39.429567966458485
Southampton,Brighton,D,31.112633810868594,39.22213981991254,29.66522636921886
Fulham,Watford,H,34.343829435503096,21.893746415997935,43.762424148498965
Burnley,Bournemouth,H,34.8980986776983,27.765909485770777,37.335991836530916
Cardiff,Man City,A,42.32781719023188,20.407597988046223,37.264584821721904
Crystal Palace,Newcastle,A,46.48350245755243,14.320160278677358,39.19633726377021
Leicester,Huddersfield,D,25.645693646506025,46.742892375830806,27.61141397766319
Liverpool,Southampton,D,25.90228618481798,43.08779088654936,31.009922928632662
Man Utd,Wolves,H,36.2400514222606,23.425329543102364,40.334619034637036
Brighton,Spurs,D,27.386631778244702,42.7529221988067,29.8604460229486
West Ham,Chelsea,A,40.58310097946072,27.026757156348598,32.390141864190696
Arsenal,Everton,D,23.621903481440945,44.76531389697997,31.612782621579083
West Ham,Man Utd,A,42.338080053101216,27.607717983688524,30.054201963210247
Arsenal,Watford,H,29.698992442865553,22.811637180997884,47.48937037613657
Everton,Fulham,D,21.85266884577689,41.855165397128445,36.29216575709467
Huddersfield,Spurs,A,38.643210262699625,26.89406435013806,34.462725387162315
Man City,Brighton,H,33.65250053257644,25.5783931039544,40.76910636346916
Newcastle,Leicester,A,39.59931021010677,21.720004529026262,38.68068526086695
Wolves,Southampton,H,30.50101225467531,32.33899782181327,37.15998992351142
Chelsea,Liverpool,D,29.450589102080137,39.55160844504971,30.997802452870154
Cardiff,Burnley,H,37.54641767061073,21.968782865872555,40.484799463516715
Bournemouth,Crystal Palace,H,35.65320640737013,26.28522952995419,38.06156406267567
Brighton,West Ham,D,22.673325024994526,44.9889448260505,32.337730148954975
Burnley,Huddersfield,H,32.625645781826776,33.43765831339417,33.93669590477906
Crystal Palace,Wolves,A,46.695986881126196,20.12804276068426,33.17597035818955
Leicester,Everton,D,24.289306919639,48.35518148823207,27.355511592128938
Spurs,Cardiff,H,42.54289309654868,13.602181221372833,43.85492568207848
Watford,Bournemouth,D,30.836863008301975,37.26111397529592,31.902023016402108
Man Utd,Newcastle,H,36.33839080522058,16.8632062642073,46.79840293057212
Fulham,Arsenal,A,34.760310042665424,33.89201072188404,31.34767923545054
Southampton,Chelsea,D,34.49537716897561,38.24531111681361,27.25931171421077
Liverpool,Man City,D,31.244095067363887,37.67736469521827,31.07854023741784
Chelsea,Man Utd,D,34.339306981594866,36.282016860593764,29.378676157811384
Bournemouth,Southampton,D,26.1002524886089,41.15146137399613,32.74828613739497
Cardiff,Fulham,H,32.992991417014046,29.84550958337296,37.161498999613
Man City,Burnley,H,32.2883261726814,24.941955256293337,42.76971857102526
Newcastle,Brighton,H,35.78968476896878,27.923325658349736,36.286989572681485
West Ham,Spurs,A,41.29377556685778,26.24010176244882,32.466122670693395
Wolves,Watford,H,33.95311500552031,19.794096168267973,46.25278882621173
Huddersfield,Liverpool,A,34.51670929807836,31.41706470453165,34.06622599738999
Everton,Crystal Palace,H,33.72390196633168,22.92753911957378,43.34855891409454
Arsenal,Leicester,H,32.368936375818116,26.227525416531407,41.403538207650485
Brighton,Wolves,D,27.341303316200584,43.711176685327736,28.947519998471694
Fulham,Bournemouth,D,31.67359744676894,35.31674780928044,33.00965474395062
Liverpool,Cardiff,H,36.89740679206499,25.035282095969368,38.06731111196564
Southampton,Newcastle,A,37.14282238774332,29.428410540545947,33.42876707171072
Watford,Huddersfield,D,28.221850055057136,43.47895792715596,28.2991920177869
Leicester,West Ham,D,28.531553789354998,37.1455839543275,34.32286225631751
Burnley,Chelsea,A,39.91652942132774,23.36690739771663,36.71656318095564
Crystal Palace,Arsenal,A,44.027477683672664,22.924319157570274,33.04820315875706
Man Utd,Everton,H,27.153604764607113,35.20706628177456,37.63932895361834
Spurs,Man City,A,38.67980850110803,22.731031066733195,38.589160432158785
Bournemouth,Man Utd,D,33.41798248229274,37.828524240094204,28.753493277613053
Cardiff,Leicester,A,42.58801985529136,17.05994140260364,40.352038742105
Everton,Brighton,H,27.179198515640152,34.02566185392559,38.79513963043425
Newcastle,Watford,H,36.723553067407636,18.78180615091534,44.49464078167703
West Ham,Burnley,H,35.384493056659736,27.35726641571805,37.25824052762223
Arsenal,Liverpool,D,28.843033846701477,35.95924897640782,35.197717176890706
Wolves,Spurs,A,37.51218153072209,27.653578516335536,34.83423995294238
Man City,Southampton,H,31.23828442000326,28.264755426477382,40.49696015351936
Chelsea,Crystal Palace,H,36.4299621181612,24.904658244028134,38.66537963781066
Huddersfield,Fulham,D,28.00090349914537,36.67615942413128,35.32293707672335
Cardiff,Brighton,A,39.12168787502626,22.481108701899366,38.39720342307437
Huddersfield,West Ham,H,32.91099787431005,29.117567923846522,37.97143420184344
Leicester,Burnley,H,28.55180610830953,35.719776028334024,35.728417863356455
Newcastle,Bournemouth,A,34.36245200559352,31.5803328300336,34.05721516437288
Southampton,Watford,H,33.18847673938623,28.53540476135829,38.27611849925548
Crystal Palace,Spurs,A,46.306113606425725,19.660216500183463,34.033669893390815
Liverpool,Fulham,D,22.654554839381035,47.95578718321235,29.389657977406614
Chelsea,Everton,D,24.06546768488961,48.16686318901213,27.767669126098244
Arsenal,Wolves,H,32.949478763826164,32.042178861137735,35.008342375036094
Man City,Man Utd,A,39.169635934976306,25.411405701816957,35.41895836320675
Brighton,Leicester,D,27.40258388117656,37.477976819524606,35.11943929929883
Everton,Cardiff,H,34.51831260594551,20.292455514814588,45.1892318792399
Fulham,Southampton,H,30.563107877554618,34.60057077820334,34.83632134424204
Man Utd,Crystal Palace,H,37.57822109371357,15.345705446257297,47.07607346002913
Watford,Liverpool,D,32.42637058919637,36.478634548208284,31.09499486259535
West Ham,Man City,A,40.0498025283228,25.727029534880558,34.223167936796635
Spurs,Chelsea,A,39.29775869666418,23.973380096364643,36.72886120697118
Bournemouth,Arsenal,D,29.991660930736064,40.47551234467218,29.532826724591754
Wolves,Huddersfield,D,29.140136803752192,39.413921265247254,31.445941931000547
Burnley,Newcastle,H,41.00433048686497,16.732109497421224,42.263560015713814
Cardiff,Wolves,A,43.97097179775775,21.48912287199107,34.53990533025118
Crystal Palace,Burnley,A,40.224930397962275,20.682446712125685,39.092622889912036
Huddersfield,Brighton,H,34.13880808016722,28.635225021290278,37.2259668985425
Leicester,Watford,H,31.260626725524894,26.103585952576676,42.63578732189843
Man City,Bournemouth,H,32.45400835652086,29.173612307319967,38.37237933615917
Newcastle,West Ham,H,34.563810663245356,28.408021050392517,37.02816828636213
Southampton,Man Utd,D,36.07961427710007,38.70570129529195,25.214684427607974
Chelsea,Fulham,D,23.600529553916882,44.55773823799715,31.841732208085954
Arsenal,Spurs,H,32.837451817767146,31.264844468081115,35.89770371415174
Liverpool,Everton,D,23.06046836145557,51.42934993209103,25.510181706453395
Bournemouth,Huddersfield,D,24.618558593187988,48.03629136289318,27.345150043918842
Brighton,Crystal Palace,H,30.470266758215008,32.49518182726378,37.034551414521204
West Ham,Cardiff,A,44.61837270676132,15.601359121767015,39.780268171471675
Watford,Man City,A,35.27518746987673,31.30448796846394,33.420324561659335
Burnley,Liverpool,A,36.72102114890547,26.7295598581512,36.54941899294332
Fulham,Leicester,H,36.99067565439521,25.07369144681084,37.93563289879395
Wolves,Chelsea,A,36.7081863621117,28.50106636776653,34.79074727012177
Everton,Newcastle,H,32.302481484444854,24.95780054281279,42.739717972742355
