Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2018 00:45,Old Trafford,Man Utd,Leicester,2 - 1
1,11/08/2018 17:15,St. James' Park,Newcastle,Spurs,1 - 2
1,11/08/2018 19:45,Vitality Stadium,Bournemouth,Cardiff,2 - 0
1,11/08/2018 19:45,Craven Cottage,Fulham,Crystal Palace,0 - 2
1,11/08/2018 19:45,John Smith's Stadium,Huddersfield,Chelsea,0 - 3
1,11/08/2018 19:45,Vicarage Road,Watford,Brighton,2 - 0
1,11/08/2018 22:15,Molineux Stadium,Wolves,Everton,2 - 2
1,12/08/2018 18:15,Anfield,Liverpool,West Ham,4 - 0
1,12/08/2018 18:15,St. Mary's Stadium,Southampton,Burnley,0 - 0
1,12/08/2018 20:45,Emirates Stadium,Arsenal,Man City,0 - 2
2,18/08/2018 17:15,Cardiff City Stadium,Cardiff,Newcastle,0 - 0
2,18/08/2018 19:45,Goodison Park,Everton,Southampton,2 - 1
2,18/08/2018 19:45,King Power Stadium,Leicester,Wolves,2 - 0
2,18/08/2018 19:45,Wembley Stadium,Spurs,Fulham,3 - 1
2,18/08/2018 19:45,London Stadium,West Ham,Bournemouth,1 - 2
2,18/08/2018 22:15,Stamford Bridge,Chelsea,Arsenal,3 - 2
2,19/08/2018 18:15,Turf Moor,Burnley,Watford,1 - 3
2,19/08/2018 18:15,Etihad Stadium,Man City,Huddersfield,6 - 1
2,19/08/2018 20:45,Amex Stadium,Brighton,Man Utd,3 - 2
2,21/08/2018 00:45,Selhurst Park,Crystal Palace,Liverpool,0 - 2
3,25/08/2018 17:15,Molineux Stadium,Wolves,Man City,1 - 1
3,25/08/2018 19:45,Emirates Stadium,Arsenal,West Ham,3 - 1
3,25/08/2018 19:45,Vitality Stadium,Bournemouth,Everton,2 - 2
3,25/08/2018 19:45,John Smith's Stadium,Huddersfield,Cardiff,0 - 0
3,25/08/2018 19:45,St. Mary's Stadium,Southampton,Leicester,1 - 2
3,25/08/2018 22:15,Anfield,Liverpool,Brighton,1 - 0
3,26/08/2018 18:15,Vicarage Road,Watford,Crystal Palace,2 - 1
3,26/08/2018 20:45,Craven Cottage,Fulham,Burnley,4 - 2
3,26/08/2018 20:45,St. James' Park,Newcastle,Chelsea,1 - 2
3,28/08/2018 00:45,Old Trafford,Man Utd,Spurs,0 - 3
4,01/09/2018 17:15,King Power Stadium,Leicester,Liverpool,1 - 2
4,01/09/2018 19:45,Amex Stadium,Brighton,Fulham,2 - 2
4,01/09/2018 19:45,Stamford Bridge,Chelsea,Bournemouth,2 - 0
4,01/09/2018 19:45,Selhurst Park,Crystal Palace,Southampton,0 - 2
4,01/09/2018 19:45,Goodison Park,Everton,Huddersfield,1 - 1
4,01/09/2018 19:45,London Stadium,West Ham,Wolves,0 - 1
4,01/09/2018 22:15,Etihad Stadium,Man City,Newcastle,2 - 1
4,02/09/2018 18:15,Cardiff City Stadium,Cardiff,Arsenal,2 - 3
4,02/09/2018 20:45,Turf Moor,Burnley,Man Utd,0 - 2
4,02/09/2018 20:45,Vicarage Road,Watford,Spurs,2 - 1
5,15/09/2018 17:15,Wembley Stadium,Spurs,Liverpool,1 - 2
5,15/09/2018 19:45,Vitality Stadium,Bournemouth,Leicester,4 - 2
5,15/09/2018 19:45,Stamford Bridge,Chelsea,Cardiff,4 - 1
5,15/09/2018 19:45,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 1
5,15/09/2018 19:45,Etihad Stadium,Man City,Fulham,3 - 0
5,15/09/2018 19:45,St. James' Park,Newcastle,Arsenal,1 - 2
5,15/09/2018 22:15,Vicarage Road,Watford,Man Utd,1 - 2
5,16/09/2018 18:15,Molineux Stadium,Wolves,Burnley,1 - 0
5,16/09/2018 20:45,Goodison Park,Everton,West Ham,1 - 3
5,18/09/2018 00:45,St. Mary's Stadium,Southampton,Brighton,2 - 2
6,22/09/2018 17:15,Craven Cottage,Fulham,Watford,1 - 1
6,22/09/2018 19:45,Turf Moor,Burnley,Bournemouth,4 - 0
6,22/09/2018 19:45,Cardiff City Stadium,Cardiff,Man City,0 - 5
6,22/09/2018 19:45,Selhurst Park,Crystal Palace,Newcastle,0 - 0
6,22/09/2018 19:45,King Power Stadium,Leicester,Huddersfield,3 - 1
6,22/09/2018 19:45,Anfield,Liverpool,Southampton,3 - 0
6,22/09/2018 19:45,Old Trafford,Man Utd,Wolves,1 - 1
6,22/09/2018 22:15,Amex Stadium,Brighton,Spurs,1 - 2
6,23/09/2018 18:15,London Stadium,West Ham,Chelsea,0 - 0
6,23/09/2018 20:45,Emirates Stadium,Arsenal,Everton,2 - 0
7,29/09/2018 17:15,London Stadium,West Ham,Man Utd,3 - 1
7,29/09/2018 19:45,Emirates Stadium,Arsenal,Watford,2 - 0
7,29/09/2018 19:45,Goodison Park,Everton,Fulham,3 - 0
7,29/09/2018 19:45,John Smith's Stadium,Huddersfield,Spurs,0 - 2
